phrase,count
fakenham duke,4
ventilation domestic,4
sensory friendly,4
sheltered housing,4
delayed significantly,4
expansion associate,4
fire compartmentation,4
academy refurbishment,4
refurbishment feasibility,4
valuations reports,4
extract ventilation,4
young people,4
refurbishment buildings,4
sprowston academy,4
survey preparation,4
refurb heritage,4
ffe education,4
county hall,4
comprised refurbishment,4
overseeing small,4
temple newsam,4
modern net,4
parking landscaping,4
create new,4
new apartments,4
offices new,4
public health,4
single houses,4
public building,4
residential blocks,4
belle vue,4
new student,4
refurbishment grade,4
heritage involves,4
manor park,4
university surrey,4
maintenance ppm,4
preventative maintenance,4
planned preventative,4
public realm,4
distribution small,4
benefit realised,4
needed affordable,4
hall school,4
primary academy,4
air conditioning,4
surface water,4
heights lane,4
building accommodate,4
homes much,4
carbon homes,4
renewable energy,4
highly populated,4
already highly,4
new modern,4
zero operation,4
stover country,4
director charge,4
lane armley,4
kirkland house,4
refurbishment commercial,4
underwent refurbishment,4
commercial refurb,4
school operations,4
children aged,4
alarms data,4
adjustable controls,4
efficient adjustable,4
electric charging,4
land assets,4
utilise land,4
better utilise,4
road park,4
residential unit,4
specialist residential,4
field terrace,4
crittall windows,4
nationally described,4
orchard manor,4
country park,4
refurb new,4
section 278,4
saxton gardens,4
tower saxton,4
224 place,4
specialist housing,4
conversion extension,4
carbon reduction,4
growing demand,4
meeting demanding,4
hub community,4
bishops wand,4
catholic college,4
paul catholic,4
iveson primary,4
asset valuation,4
new hall,4
wand school,4
sustainable meeting,4
benchmarks sustainable,4
new benchmarks,4
nzc residential,4
art gallery,4
decarbonisation feasibility,4
norse group,4
responding rfi,4
package responding,4
housing public,4
yorkshire combined,4
heritage town,4
new muga,4
care childrens,4
brentwood borough,4
flight auger,4
continuous flight,4
specialist sen,4
preparation submission,4
building movement,4
hall sports,4
attached hall,4
school swaffham,4
new nzc,4
beeston hill,4
parking electric,4
stourton park,4
estate portfolio,4
acting agent,4
compensation events,4
college new,4
planks accordance,4
benton park,4
supported reinforced,4
pile supported,4
substructure cfa,4
carrying calculations,4
lateral stability,4
shear walls,4
new substation,4
ground clearance,4
progress meetings,4
river aire,4
new kitchen,4
exeter students,4
user engagement,4
cfa continuous,4
1875 blockshops,4
clock tower,4
ash manor,4
ffe layouts,4
place sen,4
park specialist,4
alexandra hall,4
public open,4
building substructure,4
regulation approval,4
building regulation,4
heritage asset,4
building historic,4
students guild,4
general classrooms,4
disciplines education,4
senior land,4
place special,4
asserssor thermal,4
energy asserssor,4
north denes,4
fearnville wellbeing,4
new blocks,4
academic excellence,4
building superstructure,4
raised concerns,4
special education,4
education building,4
planning procurement,4
house colchester,3
producing revit,3
bim make,3
sure correct,3
industrial museum,3
specifier cdm,3
principal conservation,3
conservation liaising,3
liaising authority,3
duties onwards,3
lane tower,3
consider historic,3
historic nature,3
engineers bim,3
primary energy,3
comfort education,3
users stakeholders,3
discussed users,3
fully discussed,3
ensured fully,3
westminster building,3
solution suspended,3
classrooms technology,3
plan ensured,3
followed plan,3
historic significance,3
armley nec,3
approval building,3
surveys applying,3
specialist surveys,3
arranged specialist,3
protection measures,3
gas protection,3
ground gas,3
proposed new,3
safety aspects,3
emotional mental,3
social emotional,3
hall conversion,3
primarily overseeing,3
attenuation tanks,3
whole building,3
open public,3
formation new,3
agent new,3
jubilee building,3
wellbeing sports,3
raft foundation,3
teaching hydrotherapy,3
life skills,3
woodfields school,3
stability via,3
catering students,3
school catering,3
player changing,3
onto around,3
secondary academy,3
particularly challenging,3
housing ground,3
aspects constructing,3
open book,3
sum open,3
academy achieving,3
includes player,3
pavilion includes,3
building pavilion,3
fire damage,3
hall heritage,3
revit model,3
creating revit,3
football sports,3
properties 3b5p,3
brentwood new,3
fit purpose,3
whole school,3
tight budgets,3
brookfield first,3
pupils aged,3
feasibility studies,3
grass pitch,3
integrates grass,3
storage integrates,3
bicycle storage,3
park bicycle,3
incorporates park,3
foundation incorporates,3
community foundation,3
service community,3
kitchen service,3
changing caf,3
care residential,3
building building,3
business case,3
outline business,3
nec onwards,3
technician assisting,3
new entrance,3
year period,3
small affordable,3
carbon energy,3
decarbonisation appraisal,3
plumpton college,3
supported overall,3
school hours,3
pavilion building,3
central pavilion,3
pitches central,3
artificial football,3
sports consisting,3
focused sports,3
specified correct,3
prevent charging,3
school students,3
brand new,3
surveys specifications,3
early feasibility,3
school focused,3
ict infrastructure,3
norse energy,3
roads footpaths,3
items specified,3
sure items,3
document make,3
manage nbs,3
document manage,3
create nbs,3
revit modelling,3
hall drive,3
scott hall,3
served party,3
evaluation supervision,3
new science,3
operational costs,3
improved energy,3
homes social,3
100 homes,3
regeneration 100,3
community regeneration,3
homes community,3
ongoing new,3
administrative offices,3
charging apartments,3
road parking,3
notices served,3
dispute notices,3
boundary dispute,3
wall boundary,3
foul drainage,3
leisure health,3
mixed leisure,3
sports mixed,3
temp new,3
public right,3
health wellbeing,3
heritage public,3
civic internal,3
new public,3
sports club,3
drive new,3
knotweed adjacent,3
japanese knotweed,3
presence japanese,3
similarly presence,3
1996 similarly,3
middlecross extra,3
bishop young,3
act 1996,3
wall act,3
party wall,3
technology hall,3
hbs appointed,3
spectrum disorder,3
saw new,3
houses apartments,3
new entry,3
mayflower court,3
eva court,3
lydia eva,3
largest passivhaus,3
fabric performance,3
footpath undertaken,3
improve footpath,3
contractual improve,3
prohibited contractual,3
way prohibited,3
downham academy,3
school holiday,3
building expand,3
extensive internal,3
school places,3
adjacent public,3
assisting deliver,3
remained fully,3
classrooms group,3
birkbeck road,3
north birkbeck,3
family resilience,3
public civic,3
rayne park,3
new accommodate,3
dementia care,3
access school,3
busy road,3
school allow,3
constrained nature,3
significantly constrained,3
barncroft new,3
surveying element,3
infrastructure cdmc,3
remodelling commercial,3
producing cad,3
old buckenham,3
rosecroft primary,3
new builds,3
energy costs,3
berneslai homes,3
archiectural education,3
envelope building,3
double glazed,3
timber cladding,3
maintenance refurb,3
school maintenance,3
vehicle workshop,3
final accounts,3
commissioned undertake,3
ffe security,3
school term,3
place primary,3
director education,3
hvac ict,3
infrastructure upgrades,3
growing student,3
supervised fire,3
double height,3
hub new,3
installations ffe,3
equipment installations,3
liaising subcontractors,3
element liaising,3
school leatherhead,3
mep assisting,3
cad mep,3
naturally ventilated,3
pupils special,3
learning pupils,3
best learning,3
achieve best,3
send new,3
heritage triangle,3
dereham road,3
stratton bypass,3
solar photovoltaic,3
grass sports,3
new drama,3
science laboratories,3
alateration dwelling,3
extension alateration,3
building demolition,3
accessibility functionality,3
pre commencement,3
residential new,3
rocktownsend new,3
associate rocktownsend,3
hot water,3
new gas,3
natural ventilation,3
ventilation heat,3
building classrooms,3
building compromised,3
wider regeneration,3
communal gardens,3
meeting tight,3
information issued,3
office new,3
community retail,3
access points,3
pupil numbers,3
students diverse,3
non disruptive,3
friendly sound,3
building occupied,3
historic building,3
supervision handover,3
colchester city,3
houses flats,3
self contained,3
new sheltered,3
new mixed,3
account settled,3
monthly final,3
issued monthly,3
reports issued,3
separate building,3
new classrooms,3
small scale,3
classrooms offices,3
ingleton house,3
holt new,3
wider expansion,3
building materials,3
domestic education,3
stake holders,3
regular meetings,3
carrowbreck house,3
vibrant community,3
hethersett woodside,3
teaching classrooms,3
bradwell new,3
refurbishment remodelling,3
orchard house,3
adult social,3
largest kind,3
historic england,3
1fe expansion,3
detailing new,3
suffering dementia,3
safe environment,3
retail residential,3
meet building,3
crescent road,3
school peterborough,3
classroom extension,3
outdoor classroom,3
landmark building,3
safe secure,3
sector nps,3
installations meet,3
oversight monitor,3
park masterplan,3
park entrance,3
vue park,3
windows doors,3
single glazed,3
lower school,3
residential heritage,3
school roofing,3
primary new,3
assessment review,3
minimal disruption,3
new pedestrian,3
residential conversion,3
pupil places,3
school provides,3
specialist school,3
technician education,3
school designing,3
concept way,3
pressure gas,3
children homes,3
fabric components,3
road brentwood,3
agreed final,3
new bed,3
england funding,3
housing england,3
given housing,3
ndss given,3
standards ndss,3
described standards,3
education campus,3
cranbrook education,3
school currently,3
timeframes adhered,3
adults autism,3
cat fit,3
listed heritage,3
children special,3
living environment,3
window door,3
refurb residential,3
police stations,3
park drop,3
norwich new,3
court sen,3
rose court,3
tarnside mardale,3
small deliver,3
consent overseeing,3
bedroom person,3
children autism,3
fabric building,3
flat roofs,3
materials used,3
residential residential,3
autism learning,3
new indoor,3
highway authority,3
paved earthworks,3
approval education,3
section 106,3
retro fit,3
managing timeframes,3
decker trailers,3
assistance leader,3
pool hall,3
reception office,3
change new,3
changing places,3
kitchen changing,3
air tightness,3
meeting air,3
regulations incorporating,3
wellbeing leisure,3
new fire,3
pas 2035,3
improve thermal,3
lynn museum,3
silfield blofield,3
wymondham silfield,3
bradwell holt,3
school projects,3
bedroom apartments,3
expectations outputs,3
manage expectations,3
nec manage,3
leisure refurbishment,3
bulk upload,3
billing authorities,3
cpt finance,3
business rating,3
games muga,3
delivering following,3
plans elevations,3
reporting clients,3
commercially reporting,3
negotiated commercially,3
prices negotiated,3
negotiating prices,3
interrogating negotiating,3
0m3 interrogating,3
tightness 0m3,3
single tendering,3
traditional single,3
disciplines traditional,3
building disciplines,3
workshop building,3
designs education,3
classroom education,3
school cdm,3
either building,3
meeting either,3
bedrooms meeting,3
houses bedrooms,3
detached houses,3
clients board,3
derbyshire police,3
changing village,3
sen college,3
nec housing,3
cringleford primary,3
houses bungalows,3
delivering affordable,3
residential housing,3
technologist new,3
packages approval,3
drawing packages,3
james house,3
refurbishment office,3
office refurbishment,3
school sixth,3
power station,3
procurement onsite,3
tendering procurement,3
layouts ordinate,3
production layouts,3
building changes,3
checking drawing,3
hall superstructure,3
building includes,3
roofs building,3
housing standards,3
harewood road,3
rfi checking,3
chorus drawing,3
nbs chorus,3
combined authority,3
hall grade,3
education pmp,3
agent surveying,3
permission granted,3
planning redevelopment,3
planning consultancy,3
norse planning,3
extraction fans,3
power supply,3
student roost,3
robustly accordance,3
visuals production,3
generation visuals,3
user generation,3
documents user,3
sign documents,3
production sign,3
disciplinary production,3
ordinate disciplinary,3
assessments compensation,3
payment assessments,3
agree payment,3
duties agree,3
delegated duties,3
carry delegated,3
planning statement,3
planning advice,3
manage principal,3
pile reinforced,3
auger pile,3
